obra_id,autor
as_cruces_de_pedra_na_galiza_castelao_tei,"Castelao, Alfonso R."
sempre_en_galiza_castelao_tei,"Castelao, Alfonso R."
castelao_cousas_tei_v2,"Castelao, Alfonso R."
castelao_os_dous_de_sempre,"Castelao, Alfonso R."
cantares_gallegos_001,"Castro, Rosalía de"
el_sonar_del_río,Cuentos varios (corpus)
el_tornado,Cuentos varios (corpus)
el_vino_del_mar,Cuentos varios (corpus)
el_voto,Cuentos varios (corpus)
el_voto_de_rosiña,Cuentos varios (corpus)
la_señorita_aglae,Cuentos varios (corpus)
una_pasión,Cuentos varios (corpus)
la_mirada,Cuentos varios (corpus)
la_mayorazga_de_bouzas,Cuentos varios (corpus)
la_hoz,Cuentos varios (corpus)
la_flor_seca,Cuentos varios (corpus)
la_bicha,Cuentos varios (corpus)
la_aventura_del_ángel,Cuentos varios (corpus)
el_tetrarca_en_la_aldea,Cuentos varios (corpus)
la_camarona,Cuentos varios (corpus)
la_charca,Cuentos varios (corpus)
la_corpana,Cuentos varios (corpus)
la_danza_del_peregrino,Cuentos varios (corpus)
la_emparedada,Cuentos varios (corpus)
la_estrella_blanca,Cuentos varios (corpus)
la_exangüe,Cuentos varios (corpus)
la_amenaza,Cuentos varios (corpus)
el_templo,Cuentos varios (corpus)
la_flor_de_la_salud,Cuentos varios (corpus)
el_sino,Cuentos varios (corpus)
el_senor_doctoral,Cuentos varios (corpus)
el_rompecabezas,Cuentos varios (corpus)
el_revólver,Cuentos varios (corpus)
el_quinto,Cuentos varios (corpus)
el_peregrino,Cuentos varios (corpus)
el_palacio_de_artasar,Cuentos varios (corpus)
la_expiacion,Cuentos varios (corpus)
curros_enriquez_aires_de_la_tierra.tei,"Curros Enríquez, Manuel"
dieste_muriel_tei,"Dieste, Rafael"
dieste_viaje_duelo_perdicion_tei,"Dieste, Rafael"
testigo_irrecusable,Otros autores
supersticiones_de_galicia_y_preocupaciones_vulgares_tei,Otros autores
santiago_el_mudo,Otros autores
retrincos.tei,Otros autores
queixumes_dos_pinos,Otros autores
nieto_del_cid,Otros autores
por_el_arte,Otros autores
poema_humilde,Otros autores
morrión_y_boina,Otros autores
manuel_antonio_de_catro_a_catro_tei,Otros autores
las_caras,Otros autores
las_cutres,Otros autores
las_tapias_del_campo_santo,Otros autores
madrugueiro,Otros autores
puntería,Otros autores
fraternidad,Otros autores
viernes_santo,Otros autores
la-gota-de-sangre-1147839,Otros autores
idilio,Otros autores
fuego_a_bordo,Otros autores
follas_novas_001,Otros autores
flor_de_santidad_001,Otros autores
en_silencio,Otros autores
en_el_nombre_del_padre,Otros autores
en_coche-cama,Otros autores
la-madre-naturaleza-2011,Otros autores
barbastro,"Pardo Bazán, Emilia"
contra_treta,"Pardo Bazán, Emilia"
cornada,"Pardo Bazán, Emilia"
de_polizón,"Pardo Bazán, Emilia"
el_lorito_real,"Pardo Bazán, Emilia"
el_indulto,"Pardo Bazán, Emilia"
el_mazo,"Pardo Bazán, Emilia"
el_molino,"Pardo Bazán, Emilia"
el_morito,"Pardo Bazán, Emilia"
el_baile_del_querubín,"Pardo Bazán, Emilia"
Los-pazos-de-Ulloa-novela-original-precedida-de-unos-apuntes-autobiográficos-por-Emilia-Pardo-Bazán,"Pardo Bazán, Emilia"
romance_de_lobos_001,"Valle-Inclán, Ramón M."
cara_de_plata_001,"Valle-Inclán, Ramón M."
aguila_de_blason_001,"Valle-Inclán, Ramón M."
